,dna,rna,protein,lipid
0.01,80.512735983956588,96.783064836353674,98.577851883842143,96.330859984799787
0.0189898989899,62.993882474584225,93.891072618530188,97.299355092548709,93.032340173155148
0.0279797979798,45.475028965211862,90.999080400706745,96.020858301255245,89.73382036151051
0.0369696969697,27.956175455839499,88.10708818288326,94.74236150996181,86.435300549865858
0.0459595959596,10.437321946467131,85.215095965059788,93.46386471866839,83.136780738221233
0.0549494949495,7.0815315629052353,82.323103747236303,92.185367927374941,79.838260926576567
0.0639393939394,24.600385072277572,79.431111529412831,90.906871136081506,76.539741114931928
0.0729292929293,42.119238581649938,76.539119311589374,89.628374344788057,73.24122130328729
0.0819191919192,59.638092091022301,73.647127093765889,88.349877553494622,69.942701491642651
0.0909090909091,77.156945600394693,70.755134875942417,87.071380762201187,66.644181679998013
0.099898989899,94.675799109767041,67.863142658118946,85.792883970907766,63.345661868353375
0.108888888889,112.19465261913939,64.971150440295474,84.514387179614317,60.047142056708722
0.117878787879,129.71350612851174,62.079158222471996,83.235890388320882,56.748622245064084
0.126868686869,147.23235963788414,59.187166004648539,81.957393597027448,53.450102433419431
0.135858585859,164.75121314725649,56.295173786825067,80.678896805734013,50.151582621774807
0.144848484848,182.27006665662884,53.403181569001589,79.400400014440564,46.853062810130162
0.153838383838,199.78892016600122,50.51118935117811,78.121903223147143,43.554542998485516
0.162828282828,217.3077736753736,47.619197133354646,76.843406431853708,40.256023186840885
0.171818181818,234.826627184746,44.727204915531168,75.564909640560245,36.957503375196239
0.180808080808,252.34548069411838,41.835212697707696,74.28641284926681,33.658983563551587
0.189797979798,269.86433420349073,38.943220479884232,73.007916057973375,30.360463751906948
0.198787878788,287.3831877128631,36.051228262060754,71.729419266679926,27.061943940262307
0.207777777778,304.90204122223543,33.159236044237282,70.450922475386506,23.763424128617675
0.216767676768,322.42089473160786,30.267243826413814,69.172425684093071,22.363993534076307
0.225757575758,339.93974824098012,27.375251608590343,67.893928892799622,23.291484412236983
0.234747474747,357.45860175035261,24.483259390766875,66.615432101506201,24.218975290397658
0.243737373737,374.97745525972482,21.591267172943404,65.336935310212752,25.146466168558312
0.252727272727,392.49630876909714,18.699274955119932,64.058438518919331,26.073957046718977
0.261717171717,410.01516227846957,16.96937553020933,62.779941727625882,27.001447924879653
0.270707070707,427.53401578784195,16.407278948010159,61.501444936332447,27.928938803040325
