,gene_id,abundance
250,NP_415360.1,988
251,NP_415752.1,1619
252,NP_415733.1,2645
253,NP_418792.1,825
254,NP_417755.1,13608
255,NP_417800.1,54022
256,NP_417080.4,296
257,NP_418401.1,676
258,NP_417388.1,11353
259,NP_416600.4,2160
260,NP_415288.1,1802
261,NP_416363.1,2379
262,NP_417891.1,13769
263,NP_417148.1,599
264,NP_417904.1,172
265,NP_418289.1,1239
266,NP_414778.1,944
267,NP_414777.1,680
268,NP_415693.1,2776
269,NP_414953.2,465
270,NP_414966.1,2616
271,NP_415522.1,501
272,NP_415566.1,993
273,NP_415191.1,215
274,NP_415648.1,2967
275,NP_417795.1,3413
276,NP_417104.1,5905
277,NP_418186.1,409
278,NP_415106.1,2333
279,NP_417779.1,16502
280,NP_417010.1,590
281,NP_415451.1,593
282,NP_417377.1,369
283,NP_418799.1,135
284,NP_418275.1,1726
285,NP_416993.2,23305
286,NP_415725.1,7428
287,NP_418392.1,2145
288,NP_418562.4,110
289,NP_414708.1,10996
290,NP_416523.1,4025
291,NP_414772.1,2408
292,NP_417384.1,617
293,YP_025294.2,441
294,NP_416812.1,10759
295,NP_416799.1,3062
296,NP_416128.1,498
297,NP_418189.1,2307
298,NP_418330.1,13
299,NP_416121.1,2729
300,NP_417172.1,6890
301,NP_416797.2,1232
302,NP_417485.4,328
303,NP_418684.1,174
304,NP_414739.1,29884
305,NP_416546.1,4865
306,NP_417656.1,650
307,NP_416545.1,1009
308,NP_417179.1,1514
309,NP_416906.1,290
310,NP_417071.1,301
311,NP_415839.1,132
312,NP_414710.1,1479
313,NP_417762.1,18042
314,NP_418621.5,17452
315,NP_415194.1,967
316,NP_415604.1,152
317,NP_416154.1,2277
318,NP_417173.1,550
319,NP_414696.1,2909
320,YP_026269.1,929
321,NP_414954.1,298
322,NP_414666.1,43
323,NP_418057.1,725
324,NP_416960.1,754
325,NP_415715.1,66
326,NP_415205.1,266
327,NP_418433.1,2115
328,NP_415465.1,1545
329,NP_418200.1,1766
330,NP_414572.1,3082
331,NP_418220.1,140
332,NP_418478.1,1770
333,NP_415332.1,6759
334,NP_416120.1,1938
335,NP_416119.1,2977
336,NP_418009.2,1788
337,NP_417524.1,802
338,NP_414995.1,282
339,NP_415268.1,1690
340,NP_417816.1,2048
341,NP_415585.1,858
342,NP_417526.1,287
343,NP_417811.1,56
344,NP_414774.1,248
345,NP_415284.1,757
346,NP_415138.1,58487
347,NP_416975.1,7595
348,NP_417021.1,587
349,NP_417696.1,4718
350,NP_415408.1,4439
351,NP_417701.1,846
352,NP_415165.1,1349
353,NP_418809.4,80
354,NP_417631.2,560
355,NP_417877.1,21
356,NP_418409.1,3934
357,NP_417539.1,648
358,NP_417367.1,1682
359,NP_415721.1,2762
360,NP_415609.1,2120
361,NP_414957.1,198
362,NP_415277.1,1240
363,NP_415276.1,12056
364,NP_418673.4,15854
365,NP_418798.1,1162
366,NP_416971.1,8188
367,NP_414871.1,3065
368,NP_417092.1,2076
369,NP_417381.1,662
370,NP_415776.1,4387
371,NP_414573.1,9256
372,NP_417915.1,2647
373,NP_416365.1,81
374,NP_414636.1,572
