,gene_id,abundance
1114,NP_418321.4,131
1115,NP_418479.1,84
1116,NP_418593.1,1514
1117,NP_416036.1,97
1118,NP_417711.1,371
1119,NP_415294.1,316
1120,NP_415573.1,67
1121,NP_416348.2,10
1122,NP_416678.1,55
1123,NP_416693.1,24
1124,NP_416796.2,1220
1125,NP_417558.2,186
1126,NP_417451.1,148
1127,NP_417810.1,115
1128,NP_416923.1,39
1129,NP_417632.1,299
1130,NP_414978.1,306
1131,NP_418202.4,33
1132,NP_415447.1,842
1133,NP_415606.1,1173
1134,NP_415843.2,48
1135,NP_415563.1,69
1136,NP_417175.1,159
1137,NP_418589.1,914
1138,NP_414885.1,256
1139,NP_415698.1,103
1140,NP_415620.1,19
1141,NP_418181.1,113
1142,NP_415011.1,86
1143,NP_417926.1,12
1144,NP_418067.1,4265
1145,NP_418142.1,363
1146,NP_418640.1,687
1147,NP_417223.1,188
1148,NP_418223.1,1088
1149,NP_417110.1,330
1150,NP_417702.1,74
1151,NP_416171.1,6421
1152,NP_415475.1,39
1153,NP_417257.1,192
1154,NP_416568.1,25
1155,NP_414626.1,11
1156,NP_415411.2,716
1157,NP_414723.1,974
1158,NP_414724.1,31
1159,NP_418654.1,353
1160,NP_414632.1,92
1161,NP_414945.1,1329
1162,NP_416536.1,61
1163,NP_417664.1,84
1164,NP_415399.4,32
1165,NP_416848.1,344
1166,NP_416635.1,118
1167,NP_418078.1,62
1168,YP_026255.1,41
1169,NP_418196.1,409
1170,NP_418232.2,140
1171,NP_415482.1,38
1172,NP_418428.1,132932
1173,NP_417075.1,113
1174,YP_026280.1,147
1175,NP_417502.1,39
1176,NP_417004.1,35
1177,YP_026222.1,577
1178,NP_414880.2,11
1179,NP_418423.1,239
1180,NP_415039.1,206
1181,NP_417194.2,17
1182,YP_026246.1,73
1183,NP_417068.1,389
1184,NP_414928.2,201
1185,NP_417745.1,886
1186,NP_417725.1,201
1187,NP_414939.1,415
1188,NP_417772.1,33115
1189,NP_417763.1,6146
1190,NP_417653.1,7358
1191,NP_417756.1,10769
1192,NP_417801.1,2322
1193,NP_417100.1,65082
1194,NP_414564.1,28843
1195,NP_416833.4,1405
1196,NP_417088.1,2154
1197,NP_414593.1,253
1198,NP_415947.1,224
1199,NP_417741.1,414
1200,NP_415726.1,186
1201,NP_417226.1,1486
1202,NP_415299.1,440
1203,NP_415297.1,72
1204,NP_414590.1,295
1205,NP_416806.1,1182
1206,NP_418303.2,77
1207,NP_417069.1,30
1208,NP_416224.1,63
1209,NP_415306.1,458
1210,NP_415373.1,50
1211,NP_418512.1,19
1212,NP_418204.2,177
1213,NP_417845.1,524
1214,NP_417980.1,467
1215,NP_417043.1,24
1216,NP_418659.1,30
1217,NP_416894.1,122
1218,NP_415056.1,3610
1219,NP_417161.1,14
1220,NP_415621.3,1990
1221,NP_417054.2,26
1222,NP_417048.1,1276
1223,NP_416168.1,1966
1224,NP_416530.1,1903
1225,NP_416809.1,142
1226,NP_417165.1,786
1227,NP_415141.1,19
1228,NP_415443.2,340
1229,NP_418630.1,6
1230,NP_417985.1,37
1231,NP_418359.1,184
1232,NP_417814.1,173
1233,NP_416279.1,2013
1234,NP_418292.1,106
1235,NP_418007.3,31
1236,NP_415414.4,1
1237,NP_418577.1,165
1238,NP_418051.1,31
1239,NP_417521.1,27
1240,NP_414993.1,198
1241,NP_415696.1,485
1242,NP_414738.1,779
1243,NP_415342.1,56
1244,NP_415963.1,380
1245,NP_416416.2,460
1246,NP_417433.1,171
1247,NP_418059.1,1538
1248,NP_417857.1,41
1249,NP_418390.1,53
1250,YP_026254.1,111
1251,NP_415807.1,23
1252,NP_415265.1,268
1253,NP_418347.1,45
1254,NP_415850.1,609
1255,NP_416007.3,7
1256,NP_416870.1,52
1257,NP_416424.1,123
1258,NP_416494.1,69
1259,NP_417023.1,1451
1260,NP_414821.1,651
1261,NP_414987.3,4627
1262,NP_415061.2,408
1263,NP_415164.1,4131
1264,NP_415767.2,2116
1265,NP_416306.2,221
1266,NP_416389.4,281
1267,NP_416628.1,33
1268,NP_414938.1,22
1269,NP_416247.1,39
1270,NP_418469.1,454
1271,NP_418481.1,415
1272,NP_417569.1,9434
1273,NP_415803.2,70
1274,NP_417373.1,190
1275,NP_417386.1,813
1276,NP_417844.1,738
1277,NP_414758.1,59
1278,NP_415553.1,678
1279,NP_416055.1,12
1280,NP_416141.4,53
1281,NP_416464.1,39
1282,NP_417625.1,628
1283,NP_417291.1,196
1284,NP_414748.1,282
1285,NP_414688.1,43
1286,NP_418637.1,44
1287,NP_417949.1,53
1288,NP_418502.1,128
1289,NP_417180.1,87
1290,NP_416381.2,18
1291,NP_416201.1,313
1292,NP_418264.4,107
1293,YP_025309.2,77
1294,NP_418710.4,11
1295,NP_415286.1,6
1296,NP_415737.1,2021
1297,NP_417748.1,42
1298,NP_416012.1,1
1299,NP_418707.1,14
1300,NP_418470.4,70
1301,NP_415137.2,130
1302,NP_416343.1,451
1303,NP_418141.2,20
1304,NP_414569.1,1255
1305,NP_418806.1,39
1306,NP_416321.1,105
1307,NP_414638.1,131
1308,NP_417716.1,51
1309,NP_417749.1,1409
1310,NP_418402.2,67
1311,NP_415166.1,290
1312,NP_416320.1,73
1313,NP_415174.1,307
1314,NP_418627.4,194
1315,NP_418632.1,269
1316,NP_418641.1,36
1317,NP_414761.1,260
1318,NP_414974.1,41918
1319,NP_418591.1,8
1320,NP_418258.1,31
1321,NP_414956.1,921
1322,NP_417506.1,139
1323,NP_415851.1,57
1324,NP_415318.1,25
1325,NP_416962.1,2491
1326,NP_416337.1,58803
1327,NP_415401.1,1247
1328,NP_415156.1,17168
1329,NP_417454.1,19
1330,NP_416792.1,18
1331,NP_417693.3,117
1332,NP_417938.1,541
1333,NP_415917.1,11
1334,NP_414655.1,102
1335,NP_416662.1,122
1336,NP_417600.1,30
1337,NP_418320.2,39
1338,NP_418061.1,17
1339,NP_415258.1,54
1340,NP_417153.1,143
1341,NP_417751.1,26
1342,NP_417528.1,64
1343,NP_415404.1,4495
1344,NP_415729.1,231
1345,NP_415144.1,50
1346,NP_416231.1,3577
1347,NP_417777.1,1877
1348,NP_417652.1,23305
1349,NP_417771.1,52939
1350,NP_415607.1,26636
1351,NP_418093.1,27960
1352,NP_417766.1,10079
1353,NP_417634.1,33110
1354,NP_417770.1,4180
1355,NP_417670.1,2312
1356,NP_415785.1,114
1357,NP_417747.1,58
1358,NP_418108.1,25
1359,NP_416323.4,1854
1360,NP_417227.1,67
1361,NP_414986.1,239
1362,NP_415612.1,28944
1363,NP_414578.2,59
1364,NP_417109.1,33
1365,NP_414570.1,224
1366,NP_415765.1,10
1367,NP_414550.1,47
1368,NP_416913.1,52
1369,NP_418463.4,154
1370,NP_415298.1,6
1371,NP_418404.1,19
1372,NP_415347.1,94
1373,NP_418364.1,1559
1374,NP_416606.1,28
1375,NP_417387.3,35
1376,NP_417382.1,17
1377,NP_417282.1,3
1378,NP_418362.1,46
1379,NP_417690.1,22
1380,NP_417184.1,10
1381,NP_417618.1,293
1382,NP_417890.1,76
1383,NP_418543.1,12
1384,NP_417907.2,29
1385,NP_418024.1,1
1386,NP_418317.1,19
1387,NP_414870.1,211
1388,NP_416995.1,459
1389,NP_417304.1,383
1390,NP_417162.1,43
1391,NP_414807.1,149
1392,NP_414922.1,680
1393,NP_416974.4,324
1394,NP_416745.1,4
1395,NP_418445.1,140
1396,NP_417276.1,66
1397,NP_418805.1,188
1398,NP_417560.1,58
1399,NP_415535.1,77
1400,NP_415385.1,588
1401,NP_418254.2,362
1402,NP_416936.4,32
1403,NP_415331.1,34
1404,NP_414742.1,316
1405,NP_414795.1,151
1406,NP_417544.5,34
1407,NP_415376.4,44
1408,NP_416427.1,375
1409,NP_415694.1,171
1410,NP_416907.1,1042
1411,NP_415903.4,8
1412,NP_415742.1,0
1413,NP_417311.1,243
1414,NP_417906.1,195
1415,NP_415488.1,118
1416,NP_418546.1,15
1417,NP_417470.1,148
1418,NP_415372.1,211
1419,NP_417629.1,110
1420,NP_414924.1,107
1421,NP_417966.4,75
1422,NP_415327.2,6801
1423,NP_415569.4,3968
1424,YP_026160.1,1499
1425,NP_414863.1,4029
1426,NP_414923.1,353
1427,NP_415523.1,2565
1428,NP_415581.1,373
1429,NP_416182.1,2912
1430,NP_416686.1,95
1431,NP_416828.1,450
1432,NP_416944.1,53
1433,YP_026214.1,39
1434,NP_418112.1,70
1435,NP_415811.1,304
1436,NP_415893.2,31
1437,YP_026252.1,60
1438,NP_415018.1,55
1439,NP_416111.1,19
1440,NP_416369.1,71
1441,NP_416513.1,499
1442,NP_415623.1,705
1443,,17
1444,NP_417435.1,443
1445,NP_417511.2,208
1446,NP_418574.1,19
1447,NP_418768.1,19
1448,NP_414910.1,36
1449,NP_415710.1,107
1450,NP_417642.1,2475
1451,NP_418282.1,213
1452,NP_418408.1,152
1453,NP_418440.1,3
1454,NP_417176.1,1907
1455,NP_416477.1,7
1456,NP_415515.1,1
1457,NP_416478.2,10
1458,NP_417968.1,2
1459,NP_415325.4,14
1460,NP_415437.1,1959
1461,NP_416845.2,1921
1462,NP_417385.4,973
1463,NP_417434.4,2921
1464,NP_417509.3,127
1465,NP_417805.4,523
1466,NP_418153.4,511
1467,NP_418278.1,41
1468,NP_414891.4,365
1469,NP_417019.1,2607
1470,NP_414623.1,148
1471,NP_415169.1,56
1472,NP_417421.4,136
1473,NP_418357.1,342
1474,NP_416325.1,84
1475,NP_417108.4,127
1476,NP_415995.4,26
1477,NP_418561.1,199
1478,NP_417061.1,45
1479,NP_418723.1,1
1480,NP_415343.1,135
1481,NP_416659.1,129
1482,NP_416752.1,128
1483,NP_418143.2,489
1484,NP_417504.1,170
1485,NP_414889.1,52
1486,NP_415350.2,7
1487,NP_417665.1,203
1488,NP_418682.1,73
1489,NP_418683.4,89
1490,NP_417658.4,621
1491,NP_415918.1,7
1492,NP_418516.1,51
1493,NP_415307.1,65
1494,NP_415421.1,45
1495,NP_416567.4,22
1496,NP_418170.1,91
1497,NP_417812.1,18
1498,NP_418171.1,21
1499,NP_417858.4,62
1500,NP_417489.1,36
1501,NP_417662.1,69
1502,NP_416670.1,7
1503,NP_415029.1,11
1504,NP_416715.1,2
1505,NP_418711.1,2
1506,NP_415824.1,116
1507,NP_415124.1,77
1508,NP_414694.1,46
1509,NP_415766.1,55
1510,NP_414589.1,2
1511,NP_414899.2,5
1512,NP_416966.1,13
1513,NP_416990.1,2244
1514,NP_415968.1,6
1515,NP_416372.1,22
1516,NP_417154.1,482
1517,NP_418444.1,3
1518,NP_416271.4,17
1519,NP_417825.1,10
1520,NP_417210.2,16
1521,NP_416573.4,22
1522,NP_418367.1,467
1523,NP_416449.1,6
1524,YP_588473.1,2754
1525,NP_416401.1,5
1526,NP_418775.1,0
1527,NP_415594.1,40
1528,NP_416455.1,1
1529,NP_416930.1,76
1530,NP_418573.1,50
1531,NP_414721.1,85
1532,NP_417293.1,24
1533,NP_418403.1,55
1534,NP_414630.1,81
1535,NP_418265.1,21
1536,NP_416756.5,15
1537,NP_416542.1,252
1538,NP_418238.1,79
1539,NP_418090.1,31
1540,NP_414734.1,7
1541,NP_416470.1,20
1542,NP_417538.1,6
1543,NP_415005.1,76
1544,YP_026251.1,7
1545,NP_418781.1,59
1546,NP_414726.1,3
1547,NP_415003.1,10
1548,NP_416358.1,17
1549,NP_416991.2,11
1550,NP_414894.2,34
1551,NP_417424.1,70
1552,NP_416375.1,101
1553,YP_026271.1,10
1554,YP_026291.2,21
1555,NP_415859.1,10
1556,NP_417307.1,53
1557,NP_418012.1,2375
1558,NP_415143.1,435
1559,NP_418810.1,167
1560,NP_415939.2,133
1561,NP_417542.1,85
1562,NP_415800.1,82
1563,NP_418199.1,114
1564,YP_026239.1,42
1565,NP_416029.1,45
1566,NP_418098.4,152
1567,NP_415951.1,15
1568,NP_417056.2,44
1569,NP_418633.4,20
1570,NP_415153.1,8
1571,NP_417598.1,70
1572,NP_418623.1,25416
1573,NP_418400.1,86
1574,NP_415584.1,172
1575,NP_415944.1,74
1576,NP_417646.1,216
1577,NP_417027.1,258
1578,NP_417271.1,50
1579,NP_417490.1,43
1580,NP_417626.1,6
1581,NP_417185.1,4
1582,NP_417378.1,18
1583,NP_414645.1,71
1584,NP_416495.1,83
1585,NP_418803.1,62
1586,NP_416764.1,17
1587,NP_414673.1,665
1588,NP_416153.1,85
1589,NP_416814.1,63
1590,NP_415195.1,31
1591,NP_416385.1,125
1592,NP_417827.1,30
1593,NP_416767.1,2
1594,NP_415305.1,1168
1595,NP_418807.4,16
1596,NP_416336.1,13
1597,NP_417284.1,265
1598,NP_416411.1,138
1599,NP_418743.1,20
1600,NP_416252.1,505
1601,NP_415010.1,46
1602,NP_417601.1,6
1603,NP_417320.1,19
1604,NP_416028.3,6
1605,NP_415260.1,2
1606,NP_417976.1,11
1607,NP_418113.1,1
1608,NP_418309.1,12
1609,NP_416569.1,513
1610,NP_418097.1,3161
1611,NP_418099.1,22
1612,NP_418121.1,5
1613,NP_416273.1,271
1614,NP_417359.1,5
1615,NP_417740.1,121
1616,NP_414654.1,200
1617,NP_418629.1,180
1618,NP_416934.1,98
1619,NP_414728.1,6
1620,NP_415027.1,168
1621,NP_415133.1,56
1622,NP_415240.1,10
1623,NP_415185.1,82
1624,NP_417913.1,71
1625,NP_416115.1,15
1626,NP_417819.1,152
1627,NP_415760.1,46
1628,NP_416097.1,1
1629,NP_418570.1,53
1630,NP_417919.1,34
1631,NP_417714.1,204
1632,NP_415744.1,1
1633,NP_416791.3,437
1634,NP_416785.1,133
1635,NP_418194.1,1155
1636,NP_415262.1,43
1637,NP_417468.1,5
1638,NP_417197.1,11
1639,NP_416042.2,17
1640,NP_417343.1,9
1641,NP_416068.2,1727
1642,NP_417205.1,65
1643,NP_414916.1,1894
1644,NP_414918.4,41
1645,YP_026256.2,29
1646,NP_417017.4,436
1647,NP_414664.4,66
1648,NP_414946.4,192
1649,NP_415211.2,35
1650,NP_415789.1,680
1651,NP_416265.4,1
1652,NP_416339.1,441
1653,NP_416350.4,1369
1654,NP_416353.1,1393
1655,NP_416945.2,46
1656,NP_417157.1,33
1657,NP_417472.1,1
1658,NP_418568.2,822
1659,NP_414991.4,145
1660,NP_415689.2,4
1661,NP_416100.1,459
1662,NP_416463.4,83
1663,NP_417427.1,212
1664,NP_416367.1,25
1665,NP_417802.1,184
1666,NP_414716.1,31
1667,NP_415538.1,10
1668,NP_416853.1,114
1669,YP_025307.1,8
1670,NP_415388.1,54
1671,NP_415266.1,174
1672,NP_414941.1,5021
1673,NP_415100.1,0
1674,NP_416582.1,9
1675,NP_414969.4,279
1676,NP_416396.1,28
1677,NP_415223.1,3
1678,NP_415647.1,12
1679,NP_416724.1,2
1680,NP_417263.1,30
1681,NP_415751.1,13
1682,NP_418537.1,13
1683,NP_418125.1,39
1684,NP_416465.2,7
1685,NP_417986.4,3
1686,NP_418814.1,246
1687,NP_416817.2,40
1688,NP_418531.1,27
1689,NP_417807.1,282
1690,NP_414759.1,80
1691,NP_414925.1,1345
1692,NP_415398.1,3
1693,NP_415481.1,268
1694,NP_415631.1,20
1695,NP_415706.1,5
1696,NP_415943.4,1
1697,NP_416362.1,296
1698,NP_416834.1,74
1699,NP_417158.4,501
1700,NP_417979.1,25
1701,NP_414698.1,3607
1702,NP_416035.1,4
1703,NP_418730.4,7
1704,NP_418676.1,1939
1705,NP_416199.1,395
1706,NP_414661.2,171
1707,NP_414989.1,75
1708,NP_415111.1,177
1709,NP_415764.4,140
1710,NP_415472.2,84
1711,NP_417272.1,137
1712,NP_417566.1,37
1713,NP_417570.1,12
1714,NP_418643.1,1078
1715,NP_418773.1,24
1716,NP_417505.1,14
1717,NP_416610.4,444
1718,NP_415170.4,69
1719,NP_414737.1,65
1720,NP_418279.1,3
1721,NP_417871.1,68
1722,NP_415735.1,79
1723,NP_418787.1,1
1724,NP_416011.1,8
1725,NP_418790.1,45
1726,NP_417224.1,161
1727,NP_415365.4,27
1728,NP_415615.1,13
1729,NP_415837.1,31
1730,NP_416794.1,59
1731,NP_416108.2,149
1732,NP_418782.1,55
1733,NP_418002.2,1
1734,NP_414977.1,13
1735,NP_415650.1,165
1736,NP_416479.1,379
1737,NP_417233.1,15
1738,NP_414588.1,45
1739,NP_417146.2,10
1740,NP_414992.1,68
1741,NP_415471.1,1
1742,NP_418296.1,57
1743,NP_418082.1,4
1744,NP_415328.4,23
1745,NP_415750.2,83
1746,NP_415036.1,11
1747,NP_415077.1,10
1748,NP_415264.1,193
1749,NP_415336.1,0
1750,NP_415981.1,127
1751,NP_415979.2,10
1752,NP_416295.1,30
1753,NP_416929.4,82
1754,YP_588468.1,454
1755,NP_418700.2,10
1756,NP_415048.1,25
1757,NP_416355.1,180
1758,NP_415023.1,70
1759,NP_417699.1,32
1760,NP_415129.1,18
1761,NP_414884.2,7
1762,NP_415028.1,30
1763,NP_416952.2,14
1764,NP_416849.1,12
1765,NP_418560.1,12
1766,NP_417868.1,9
1767,NP_415117.2,5
1768,NP_415424.1,26
1769,NP_418532.1,90
1770,NP_414700.1,21
1771,NP_418251.1,198
1772,YP_026168.2,39
1773,NP_416415.1,2
1774,NP_414740.1,602
1775,NP_418494.1,0
1776,NP_416330.1,47
1777,NP_415120.1,12
1778,NP_418489.1,56
1779,NP_415703.3,36
1780,NP_415897.1,24
1781,NP_416157.1,54
1782,NP_416919.1,260
1783,NP_417077.1,257
1784,NP_417159.1,33
1785,NP_415022.1,9
1786,NP_416440.1,687
1787,NP_415597.1,0
1788,NP_416402.1,1
1789,NP_416838.1,104
1790,NP_418477.1,15
1791,NP_418590.1,15
1792,NP_417649.1,8
1793,NP_415190.1,47
1794,NP_414629.1,20
1795,NP_415772.1,28
1796,NP_415267.1,66
1797,NP_415634.1,29
1798,NP_414718.1,7
1799,NP_415389.2,16
1800,NP_416532.1,10
1801,NP_415965.1,76
1802,NP_416082.1,178
1803,NP_414750.1,24
1804,NP_414725.1,91
1805,NP_414931.1,7
1806,NP_416423.4,1
1807,NP_417846.1,74
1808,NP_414751.1,15
1809,NP_418789.1,26
1810,NP_418370.1,3
1811,NP_415412.1,5
1812,NP_417297.1,40
1813,NP_417296.1,0
1814,NP_418155.1,34
1815,YP_026210.1,3
1816,YP_026172.1,0
1817,NP_416169.1,237
1818,NP_417922.1,50
1819,NP_416469.1,13
1820,NP_416379.1,9
1821,,75
1822,NP_418369.1,9
1823,NP_417546.1,24
1824,NP_417565.2,44
1825,NP_416432.3,1
1826,NP_416656.1,0
1827,NP_417288.1,5
1828,NP_418442.2,7
1829,NP_418272.1,45
1830,NP_414731.2,738
1831,NP_414744.1,8
1832,NP_418031.1,91
1833,YP_026245.1,158
1834,NP_415361.1,26
1835,NP_417285.1,7
1836,NP_417187.1,12
1837,NP_416284.1,23
1838,NP_417150.4,6
1839,NP_417834.6,11
1840,NP_416166.3,3
1841,NP_418599.1,872
1842,NP_415815.1,111
1843,NP_418026.1,1
1844,NP_416058.1,96
1845,NP_415819.4,22
1846,NP_418011.1,4
1847,NP_418715.2,7
1848,NP_416112.1,3
1849,NP_417483.2,56
1850,NP_417657.2,499
1851,NP_415637.1,9
1852,NP_417727.1,3523
1853,NP_418159.1,130
1854,,5
1855,NP_418158.1,14566
1856,NP_417107.2,2725
1857,NP_417859.1,17
1858,NP_418751.4,2
1859,NP_418579.2,35
1860,NP_418446.1,16
1861,NP_414830.1,3
1862,NP_417647.1,281
1863,NP_417898.1,6
1864,NP_418669.1,15
1865,NP_418608.6,3
1866,NP_417365.1,17
1867,NP_415608.2,51
1868,NP_416641.1,72
1869,NP_416590.1,42
1870,NP_418318.1,6
1871,NP_417313.1,6
1872,NP_416110.4,4
1873,NP_418425.1,31
1874,NP_415008.1,19
1875,NP_415172.1,40
1876,NP_415272.1,60
1877,NP_414951.1,103
1878,NP_418091.1,62
1879,NP_414684.1,214
1880,NP_417245.1,283
1881,NP_416607.1,3
1882,NP_417383.1,63
1883,NP_415483.2,869
1884,NP_418514.1,35
1885,YP_026181.1,0
1886,NP_416134.1,1
1887,YP_026238.1,0
1888,NP_418148.1,12
1889,NP_415346.4,110
1890,NP_417280.1,1
1891,NP_415041.1,6
1892,NP_416030.1,0
1893,NP_418457.1,1
1894,NP_416332.1,110
1895,NP_415363.1,17
1896,NP_416653.1,1
1897,NP_415542.1,2
1898,NP_418206.1,6
1899,NP_418661.1,15
1900,NP_416488.1,34
1901,NP_418615.1,28
1902,NP_418025.1,0
1903,NP_417688.1,129
1904,NP_418722.1,9
1905,NP_414702.1,2
1906,NP_415754.1,92
1907,NP_414641.1,4
1908,NP_414858.1,2
1909,NP_415652.1,46
1910,NP_417290.1,12
1911,NP_417974.1,25
1912,NP_417380.1,648
1913,NP_414984.1,58
1914,NP_416359.1,0
1915,NP_416328.1,4
1916,NP_418165.1,10
1917,NP_414729.4,136
1918,NP_416326.1,36
1919,NP_417432.1,5
1920,NP_416935.1,12
1921,NP_416811.1,104
1922,NP_417933.1,4
1923,NP_418517.1,340
1924,NP_417164.1,30
1925,NP_415810.1,20
1926,NP_416682.4,10
1927,NP_417348.1,10
1928,NP_415614.1,28
1929,NP_418718.4,26
1930,NP_415352.1,72
1931,NP_415761.1,96
1932,NP_417040.2,2
1933,NP_416651.1,1
1934,NP_414625.1,59
1935,NP_415860.1,78
1936,NP_414767.1,18
1937,NP_416260.1,5
1938,NP_414846.1,85
1939,NP_418328.1,0
1940,NP_417371.1,690
1941,NP_417453.1,33
1942,NP_416746.1,0
1943,NP_418501.1,7
1944,NP_418198.1,4170
1945,NP_417270.1,157
1946,NP_415497.1,1
1947,NP_414964.1,18
1948,NP_417449.1,1
1949,YP_026190.1,0
1950,NP_415491.1,0
1951,NP_417201.1,1
1952,NP_416710.1,1
1953,NP_416146.1,10
1954,NP_416148.1,90
1955,NP_415249.1,860
1956,NP_415250.1,29
1957,NP_416114.2,0
1958,NP_417266.1,2
1959,NP_417995.1,42
1960,NP_415630.1,156
1961,NP_415089.1,2525
1962,NP_416245.2,80
1963,NP_416142.1,46
1964,NP_418102.2,0
1965,NP_418740.1,17
1966,YP_588446.1,1269
1967,NP_417967.1,2099
1968,NP_417466.1,110
1969,NP_415821.1,318
1970,NP_415997.1,3458
1971,NP_414944.1,103
1972,NP_415099.1,5
1973,NP_415274.1,338
1974,NP_416059.1,18
1975,NP_416200.2,569
1976,NP_416238.1,125
1977,NP_416419.1,3
1978,NP_416753.4,3
1979,NP_417289.2,1446
1980,NP_417705.2,35
1981,NP_417821.1,25
1982,NP_417924.1,60
1983,YP_588470.1,642
1984,NP_418780.2,211
1985,NP_415900.1,83
1986,NP_416274.1,139
1987,NP_417739.1,302
1988,NP_415775.4,64
1989,NP_416679.4,17
1990,NP_416041.1,5
1991,NP_415730.1,2
1992,NP_417804.1,25
1993,NP_415489.4,482
1994,YP_026257.1,5
1995,NP_418242.1,30
1996,NP_417049.1,9
1997,NP_415858.1,9
1998,NP_416965.1,1
1999,NP_414653.1,4
2000,NP_416579.1,0
2001,NP_417971.1,0
2002,NP_418430.2,2
2003,NP_418646.1,72
2004,NP_417067.1,44
2005,NP_416126.1,6
2006,NP_416842.1,61
2007,NP_415324.1,3
2008,NP_416630.1,0
2009,NP_418645.2,9
2010,NP_416722.2,1
2011,NP_416681.1,1
2012,NP_418815.1,8
2013,NP_414933.1,7
2014,NP_415857.2,3
2015,NP_416052.1,1
2016,NP_416300.2,1
2017,NP_416308.4,3
2018,NP_416896.4,1
2019,NP_418389.1,2
2020,NP_415558.1,0
2021,NP_416771.4,7
2022,NP_414643.1,95
2023,NP_414732.1,2
2024,NP_414921.2,49
2025,NP_414888.4,88
2026,YP_588442.1,1
2027,NP_415235.1,0
2028,NP_415301.1,4
2029,NP_415387.1,87
2030,NP_415426.1,4
2031,NP_415749.1,7
2032,NP_415795.1,58
2033,NP_415838.1,19
2034,NP_415901.2,9
2035,NP_416291.4,79
2036,NP_416382.1,0
2037,YP_025310.1,2
2038,NP_416692.1,299
2039,NP_417084.1,22
2040,NP_417428.2,46
2041,NP_417813.1,0
2042,NP_418255.1,10
2043,YP_026284.1,35719
2044,NP_415955.2,189
2045,NP_415486.4,15
2046,NP_417666.1,58
2047,NP_415476.1,52
2048,NP_416827.4,7
2049,NP_415908.1,1
2050,NP_417531.1,0
2051,NP_418276.1,1
2052,YP_588441.1,106
2053,NP_415628.1,52
2054,NP_414842.4,2
2055,YP_026202.1,7
2056,YP_026208.1,1
2057,NP_418550.1,104
2058,NP_416466.1,22
2059,YP_588464.1,40
2060,NP_418642.1,3
2061,NP_418690.4,1
2062,NP_415026.1,39
2063,NP_418488.1,81
2064,NP_416770.1,139
2065,NP_418564.2,1
2066,NP_417261.1,2
2067,NP_416537.1,41
2068,NP_415016.4,40
2069,NP_415192.1,14
2070,NP_415311.1,9
2071,NP_415368.1,0
2072,NP_415994.4,70
2073,NP_416480.1,20
2074,NP_416517.1,3
2075,NP_418140.4,1
2076,NP_416816.1,8
2077,NP_415978.1,258
2078,NP_416194.1,5
2079,NP_415241.1,0
2080,NP_416471.1,2
2081,NP_418611.1,159
2082,NP_418791.1,66
2083,NP_416968.2,51
2084,NP_417503.1,23
2085,NP_417620.1,10
2086,NP_418639.1,12
2087,NP_417070.2,29
2088,NP_417556.2,1
2089,NP_418794.1,4
2090,NP_416268.2,17
2091,NP_416307.1,6
2092,NP_416482.1,27
2093,NP_416282.4,34
2094,NP_415907.1,0
2095,NP_414902.1,2
2096,NP_414985.1,53
2097,NP_414592.1,13
2098,NP_415734.1,43
2099,NP_417867.1,0
2100,NP_417883.1,13
2101,NP_415704.1,0
2102,NP_417960.1,2
2103,NP_415709.2,2
2104,NP_416220.1,1
2105,NP_416311.1,2
2106,NP_418712.1,3
2107,NP_414597.1,1
2108,NP_415370.1,142
2109,NP_417083.1,0
2110,NP_416805.1,20
2111,NP_416516.1,3407
2112,NP_415938.1,0
2113,NP_416448.1,0
2114,NP_416452.1,15
2115,NP_416395.1,2
2116,NP_418736.3,0
2117,NP_417294.4,0
2118,NP_417305.1,7
2119,NP_415435.1,14
2120,NP_416831.1,7
2121,NP_417181.1,33
2122,NP_417438.2,0
2123,NP_415168.1,7
2124,NP_416638.4,0
2125,NP_418079.1,8
2126,NP_417096.1,4
2127,NP_417317.1,4
2128,NP_417341.4,2
2129,NP_415555.1,27
2130,NP_415711.2,170
2131,NP_417830.4,1
2132,NP_415636.1,2
2133,NP_417675.1,0
2134,NP_415846.1,2
2135,NP_415390.4,2
2136,NP_417621.2,8
2137,NP_416098.1,1
2138,NP_418080.1,3
2139,NP_416564.4,0
2140,NP_416172.1,0
2141,NP_416236.1,2
2142,NP_417267.1,1
2143,NP_415617.1,15
2144,NP_414815.1,0
2145,NP_418092.1,3
2146,NP_417436.1,3
2147,NP_415242.1,0
2148,NP_418426.2,8
2149,NP_416150.1,11
2150,NP_418622.1,9
2151,NP_415000.1,16
2152,NP_417299.1,1
2153,NP_414932.1,11
2154,NP_416277.1,0
2155,NP_418256.1,16
2156,NP_417370.1,10
2157,NP_415397.1,0
2158,NP_416716.1,13
2159,NP_418680.1,4
2160,NP_418109.1,3
2161,NP_414976.1,41
2162,NP_415629.4,2
2163,NP_414997.1,21
2164,NP_417704.1,648
2165,NP_416492.1,43
2166,NP_416088.1,20
2167,NP_418284.1,56
2168,NP_418513.4,58
2169,NP_418487.1,1
2170,NP_418662.1,5
2171,NP_418744.1,8
2172,NP_415680.1,2
2173,NP_415836.1,29
2174,NP_417576.1,5
2175,NP_416075.1,2
2176,NP_415510.1,46
2177,NP_415020.1,49
2178,NP_415902.1,4
2179,NP_417869.1,4
2180,YP_026216.2,1
2181,NP_418221.1,8
2182,NP_414879.3,23
2183,NP_417493.1,34
