,dna,rna,protein,lipids,metabolites
0.01,67.721880480848341,94.853075589253123,98.28317124817741,86.327646030200739,2
0.0189898989899,38.704177074742304,90.226042533127156,96.739759541993493,74.036337915936727,4
0.0279797979798,9.6864736686362729,85.599009477001175,95.196347835809576,61.74502980167275,4
0.0369696969697,19.331229737469755,80.971976420875208,93.652936129625644,49.453721687408752,4
0.0459595959596,48.348933143575813,76.344943364749227,92.109524423441727,37.162413573144761,4
0.0549494949495,77.366636549681829,71.717910308623246,90.566112717257781,30.757623637162965,4
0.0639393939394,106.38433995578785,67.090877252497279,89.022701011073849,27.05260565774152,4
0.0729292929293,135.40204336189387,62.463844196371326,87.479289304889932,26.842298480388482,4
0.0819191919192,164.41974676799992,57.836811140245345,85.935877598706,33.818020841354517,4
0.0909090909091,193.437450174106,53.209778084119364,84.392465892522068,41.187281657072411,4
0.099898989899,222.45515358021206,48.58274502799339,82.849054186338151,48.556542472790319,4
0.108888888889,251.47285698631805,43.955711971867409,81.305642480154205,55.925803288508227,4
0.117878787879,280.49056039242407,39.328678915741442,79.762230773970288,65.091718058943073,4
0.126868686869,309.50826379853021,34.701645859615454,78.218819067786356,75.140129576148979,3
0.135858585859,338.52596720463617,30.074612803489497,76.675407361602439,85.75066756949515,3
0.144848484848,367.54367061074225,25.44757974736352,75.131995655418493,98.041975683759176,3
0.153838383838,396.56137401684828,20.820546691237539,73.588583949234561,110.33328379802317,2
0.162828282828,425.5790774229543,17.720849520005803,72.045172243050629,122.62459191228714,2
0.171818181818,454.59678082906044,16.858869954629778,70.501760536866712,134.91590002655116,2
0.180808080808,483.61448423516646,15.99689038925375,68.958348830682766,147.20720814081517,2
0.189797979798,512.63218764127237,16.224534512474118,67.414937124498849,159.49851625507918,2
0.198787878788,541.64989104737856,18.571873649396355,65.871525418314917,171.78982436934314,2
0.207777777778,570.66759445348453,20.919212786318582,64.328113712131,184.08113248360712,2
0.216767676768,599.68529785959049,23.266551923240815,62.784702005947068,196.37244059787113,2
0.225757575758,628.70300126569646,25.613891060163038,61.241290299763122,208.66374871213509,2
0.234747474747,657.72070467180265,27.961230197085261,59.697878593579205,220.95505682639916,2
0.243737373737,686.7384080779085,30.308569334007476,58.15446688739528,233.24636494066303,2
0.252727272727,715.75611148401458,32.655908470929695,56.611055181211363,245.53767305492707,2
0.261717171717,744.77381489012078,35.003247607851939,55.067643475027424,257.82898116919108,2
0.270707070707,773.79151829622674,39.330883038400117,53.524231768843478,270.12028928345507,2
0.279696969697,802.80922170233293,43.957916094526105,51.980820062659554,282.41159739771905,2
0.288686868687,831.82692510843867,48.584949150652058,50.437408356475636,294.70290551198303,2
0.297676767677,860.84462851454487,53.211982206778039,48.893996650291704,306.99421362624702,2
0.306666666667,889.86233192065083,57.839015262903992,47.350584944107773,319.285521740511,1
0.315656565657,918.88003532675702,62.466048319030001,45.807173237923841,331.57682985477504,1
0.324646464646,947.89773873286322,67.093081375155961,44.26376153173991,343.86813796903908,1
0.333636363636,976.91544213896918,71.720114431281957,42.720349825555978,356.15944608330301,1
0.342626262626,1005.933145545075,76.347147487407895,41.176938119372053,368.45075419756699,1
0.351616161616,1034.9508489511811,80.974180543533876,39.709283206176423,380.74206231183092,1
0.360606060606,1063.9685523572871,85.601213599659857,38.423482058618163,393.03337042609496,1
0.369595959596,1092.986255763393,90.228246655785838,37.137680911059896,405.32467854035912,1
0.378585858586,1122.0039591694992,94.85527971191182,35.851879763501643,417.6159866546231,1
0.387575757576,1151.0216625756052,99.482312768037787,34.776797358308933,429.90729476888697,1
0.396565656566,1180.0393659817112,104.10934582416375,33.727835920959308,442.19860288315107,1
0.405555555556,1209.0570693878174,108.73637888028975,32.678874483609675,454.48991099741494,1
0.414545454545,1238.0747727939233,113.36341193641574,31.84540509417938,466.78121911167892,1
0.423535353535,1267.0924762000295,117.9904449925417,31.017978450266604,479.07252722594285,1
0.432525252525,1296.1101796061355,122.61747804866768,30.190551806353835,491.363835340207,1
0.441515151515,1325.1278830122412,127.2445111047936,29.363125162441058,503.65514345447099,1
0.450505050505,1354.1455864183474,131.87154416091957,28.70206193083153,515.94645156873491,1
0.459494949495,1383.1632898244534,136.49857721704555,28.36839267958403,528.2377596829989,1
0.468484848485,1412.1809932305596,141.12561027317156,28.140823312356723,540.52906779726288,1
0.477474747475,1441.1986966366655,145.75264332929751,27.913253945129423,552.82037591152687,1
0.486464646465,1470.2164000427715,150.37967638542349,27.685684577902105,565.11168402579096,1
0.495454545455,1499.2341034488775,155.00670944154948,27.458115210674798,577.40299214005495,0
0.504444444444,1528.2518068549834,159.6337424976754,27.230545843447505,589.69430025431882,0
0.513434343434,1557.2695102610896,164.26077555380138,27.149974123586066,601.9856083685828,0
0.522424242424,1586.2872136671956,168.88780860992736,27.109656976980727,614.27691648284679,0
0.531414141414,1615.3049170733016,173.51484166605337,27.232000262160796,626.56822459711077,0
0.540404040404,1644.3226204794078,178.14187472217932,27.475378319867065,638.85953271137487,0
0.549393939394,1673.340323885514,182.76890777830531,27.766090220889151,651.15084082563885,0
0.558383838384,1702.3580272916197,187.39594083443129,28.056802121911243,663.44214893990284,0
0.567373737374,1731.3757306977259,192.0229738905573,28.347514022933325,675.73345705416693,0
0.576363636364,1760.3934341038323,196.65000694668325,28.63822592395541,688.0247651684308,0
0.585353535354,1789.4111375099383,201.27704000280923,28.957566135980564,700.3160732826949,0
0.594343434343,1818.428840916044,205.9040730589351,29.402298385523654,712.60738139695877,0
0.603333333333,1847.4465443221497,210.53110611506114,29.847030635066762,724.89868951122264,0
0.612323232323,1876.4642477282559,215.15813917118712,30.291762884609863,737.18999762548685,0
0.621313131313,1905.4819511343621,219.7851722273131,30.736495134152968,749.48130573975061,0
0.630303030303,1934.4996545404683,224.41220528343911,31.181227383696061,761.77261385401471,0
0.639292929293,1963.5173579465745,229.03923833956506,31.625959633239159,774.06392196827881,0
0.648282828283,1992.5350613526805,233.66627139569104,32.198159829408866,786.35523008254279,0
0.657272727273,2021.5527647587865,238.29330445181699,32.783332192266052,798.64653819680677,0
0.666262626263,2050.5704681648922,242.920337507943,33.368504555123231,810.93784631107076,0
