,Biomass composition,Fitness
0,"['5fthf_c', 'murein5px3p_p', 'lipidA_c', 'aps_c', 'dpcoa_c', 'nadhx__R_c', '3hhcoa_c', 'aacoa_c', '2ombzl_c', 'enlipa_e', 'nadphx__S_c', 'uagmda_c', 'fad_c', 'hdcoa_c', 'hemeO_c', 'murein4px4p4p_p', 'murein5px4px4p_p', 'athtp_c', 'LalaDgluMdap_e', 'ahcys_c']",0.7688996370688065
1,"['5fthf_c', 'murein5px3p_p', 'lipidA_c', 'aps_c', 'dpcoa_c', 'nadhx__R_c', '3hhcoa_c', 'aacoa_c', '2ombzl_c', 'enlipa_e', 'b2coa_c', 'kdo2lipid4L_c', 'dd2coa_c', 'nadphx__S_c', 'uagmda_c', 'fad_c', 'hdcoa_c', 'hemeO_c', 'murein4px4p4p_p', 'murein5px4px4p_p', 'fadh2_c', 'lipa_c', 'anhm3p_c', 'fad_e', '3otdcoa_c', 'pap_c', '3hodcoa_c', 'ahcys_c', 'LalaDgluMdapDala_e', 'malcoa_c', 'q8h2_c']",0.7688996370688065
2,"['5fthf_c', 'murein5px3p_p', 'lipidA_c', 'aps_c', 'dpcoa_c', 'nadhx__R_c', '3hhcoa_c', 'aacoa_c', '2ombzl_c', 'enlipa_e', 'b2coa_c', 'kdo2lipid4L_c', 'dd2coa_c', 'nadphx__S_c', 'uagmda_c', 'fad_c', 'hdcoa_c', 'hemeO_c', 'murein4px4p4p_p', 'murein5px4px4p_p', 'lipidAds_c', '3oddcoa_c', 'athtp_c', '4mpetz_c', 'fad_e', 'ribflv_p', 'dnad_c', 'ahcys_c', 'um4p_c', 'LalaDgluMdapDala_e', 'murein3px4p_p', '3hhdcoa_c', 'murein4p3p_p', 'na15dap_c', 'anhm4p_c']",0.7688996370688065
3,"['5fthf_c', 'murein5px3p_p', 'lipidA_c', 'aps_c', 'dpcoa_c', 'nadhx__R_c', '3hhcoa_c', 'aacoa_c', '2ombzl_c', 'enlipa_e', 'b2coa_c', 'kdo2lipid4L_c', 'dd2coa_c', 'nadphx__S_c', 'uagmda_c', 'fad_c', 'hdcoa_c', 'hemeO_c', 'murein4px4p4p_p', 'murein5px4px4p_p', 'athtp_c', 'N1aspmd_c', '2oph_c']",0.7688996370688065
4,"['5fthf_c', 'murein5px3p_p', 'lipidA_c', 'aps_c', 'dpcoa_c', 'nadhx__R_c', '3hhcoa_c', 'aacoa_c', '2ombzl_c', 'enlipa_e', 'malcoame_c']",0.7688996370688065
5,"['5fthf_c', 'murein5px3p_p', 'lipidA_c', 'aps_c', 'dpcoa_c', 'nadhx__R_c', '3hhcoa_c', 'aacoa_c', '2ombzl_c', 'enlipa_e', 'b2coa_c', 'kdo2lipid4L_c', 'dd2coa_c', 'nadphx__S_c', 'uagmda_c', 'fad_c', 'hdcoa_c', 'hemeO_c', 'murein4px4p4p_p', 'murein5px4px4p_p', 'athtp_c', 'LalaDgluMdap_e', '14dhncoa_c']",0.7688996370688065
6,"['5fthf_c', 'murein5px3p_p', 'lipidA_c', 'aps_c', 'dpcoa_c', 'nadhx__R_c', '3hhcoa_c', 'aacoa_c', '2ombzl_c', 'enlipa_e', 'b2coa_c', 'kdo2lipid4L_c', 'dd2coa_c', 'nadphx__S_c', 'uagmda_c', 'fad_c', 'hdcoa_c', 'hemeO_c', 'murein4px4p4p_p', 'murein5px4px4p_p', 'athtp_c', 'udcpp_p', 'LalaDgluMdap_e', '2ohph_c', 'methf_c', '2oph_c', '3ohcoa_c']",0.7688996370688065
7,"['5fthf_c', 'murein5px3p_p', 'lipidA_c', 'aps_c', 'dpcoa_c', 'nadhx__R_c', '3hhcoa_c', 'aacoa_c', '2ombzl_c', 'enlipa_e', 'b2coa_c', 'kdo2lipid4L_c', 'dd2coa_c', 'nadphx__S_c', 'uagmda_c', 'fad_c', 'hdcoa_c', 'hemeO_c', 'murein4px4p4p_p', 'murein5px4px4p_p', 'thmnp_c', '4mpetz_c', 'stcoa_c', 'pap_c', 'um4p_c', '3hhdcoa_c', '2tpr3dpcoa_c', 'prlp_c', 'q8h2_c', 'anhm4p_c']",0.7688996370688065
8,"['5fthf_c', 'murein5px3p_p', 'lipidA_c', 'aps_c', 'dpcoa_c', 'nadhx__R_c', '3hhcoa_c', 'aacoa_c', '2ombzl_c', 'enlipa_e', 'b2coa_c', 'kdo2lipid4L_c', 'dd2coa_c', 'nadphx__S_c', 'uagmda_c', 'fad_c', 'hdcoa_c', 'hemeO_c', 'murein4px4p4p_p', 'dc2coa_c', 'kdo2lipid4_e', 'murein5p3p_p', 'dann_c', 'LalaDgluMdap_p', '2omph_c', 'lipa_p', 'cxsam_c', 'fadh2_c', '25drapp_c', '5mta_c', 'ugmd_c', 'anhm3p_c', 'pmtcoa_c', 'ahdt_c', 'dnad_c', 'LalaDgluMdap_e', 'ahcys_c', 'LalaDgluMdapDala_e', 'murein3p3p_p', '2tpr3dpcoa_c', 'anhgm3p_c', '5apru_c']",0.7688996370688065
9,"['5fthf_c', 'murein5px3p_p', 'lipidA_c', 'aps_c', 'dpcoa_c', 'nadhx__R_c', '3hhcoa_c', 'aacoa_c', '2ombzl_c', 'enlipa_e', 'b2coa_c', 'kdo2lipid4L_c', 'dd2coa_c', 'nadphx__S_c', 'uagmda_c', 'fad_c', 'hdcoa_c', 'hemeO_c', 'murein4px4p4p_p', 'murein5p3p_p', 'mptamp_c', 'rbflvrd_c']",0.7688996370688065
10,"['5fthf_c', 'murein5px3p_p', 'lipidA_c', 'aps_c', 'dpcoa_c', 'nadhx__R_c', '3hhcoa_c', 'aacoa_c', '2ombzl_c', 'enlipa_e', 'b2coa_c', 'kdo2lipid4L_c', 'dd2coa_c', 'nadphx__S_c', 'uagmda_c', 'fad_c', 'hdcoa_c', 'hemeO_c', 'murein4px4p4p_p', 'murein5px4px4p_p', 'athtp_c', 'LalaDgluMdap_e', 'ahcys_c', 'colipa_e', 'murein3px3p_p', 'malcoame_c', 'anhm4p_c']",0.7688996370688065
11,"['5fthf_c', 'murein5px3p_p', 'lipidA_c', 'aps_c', 'dpcoa_c', 'nadhx__R_c', '3hhcoa_c', 'aacoa_c', '2ombzl_c', 'enlipa_e', 'b2coa_c', 'kdo2lipid4L_c', 'dd2coa_c', 'td2coa_c', 'n8aspmd_c', 'murein4px4p4p_p', 'murein3px3p_p']",0.7688996370688065
12,"['5fthf_c', 'murein5px3p_p', 'lipidA_c', 'aps_c', 'dpcoa_c', 'nadhx__R_c', '3hhcoa_c', 'aacoa_c', '2ombzl_c', 'enlipa_e', 'b2coa_c', 'kdo2lipid4L_c', 'dd2coa_c', 'nadphx__S_c', 'uagmda_c', 'fad_c', '2ommbl_c', 'LalaDgluMdapDala_p', 'lipa_cold_p', 'u3hga_c', 'LalaDgluMdap_p', 'lipa_p', 'fmn_e', '4mpetz_c', 'anhgm4p_p', 'stcoa_c', 'pap_c', 'ribflv_p', 'ahdt_c', 'LalaDgluMdap_e', 'ahcys_c']",0.7688996370688065
13,"['5fthf_c', 'murein5px3p_p', 'lipidA_c', 'aps_c', 'dpcoa_c', 'nadhx__R_c', '3hhcoa_c', 'aacoa_c', '2ombzl_c', 'enlipa_e', 'b2coa_c', 'kdo2lipid4L_c', 'nadphx__S_c', 'uagmda_c', 'fad_c', 'hdcoa_c', 'hemeO_c', 'murein4px4p4p_p', 'murein5px4px4p_p', 'athtp_c', 'ahcys_c']",0.7688996370688065
