,Metabolites,Coefficients
0,cys__L_c,-0.03986681905592248
1,utp_c,-0.15379576979105725
2,nadh_c,-0.002791350291493571
3,cobalt2_c,-0.031422896632998916
4,pg161_p,-0.013732749319021107
5,athtp_c,-0.0030242685942708544
6,pe181_p,-0.013250952451946144
7,b2coa_c,-0.002733035092351076
8,na1_c,-0.08055112564640064
9,ni2_c,-0.03155127922137501
10,h2o_c,-83.63746540313366
11,pe160_p,-0.05984233670391253
12,fe3_c,-0.033160566780407415
13,pi_c,89.08201514974236
14,arg__L_c,-0.18048710436993531
15,h_c,89.08201514974236
16,pg160_p,-0.014826578855136982
17,thmpp_c,-0.00538190401879565
18,hemeO_c,-0.0027158517883374535
19,met__L_c,-0.10723969052764214
20,mg2_c,-0.07619221772688138
21,trp__L_c,-0.02496595423787938
22,val__L_c,-0.4469423839082196
23,kdolipid4_c,-0.0014021876319631383
24,mobd_c,-0.01157858972406646
25,atp_c,-89.2376994848839
26,so4_c,-0.01927755288584581
27,datp_c,-0.02444591818758859
28,pyr_c,-0.02127242055691163
29,pro__L_c,-0.2263526954082617
30,k_c,-0.047363999249375344
31,cl_c,-0.05223399576486762
32,3hodcoa_c,-0.0021728547776099813
33,ser__L_c,-0.30382792752346605
34,dgtp_c,-0.0239602234835714
35,coa_c,-0.0024254697059160925
36,25drapp_c,-0.006471136311457651
37,accoa_c,-0.002298897698310387
38,mn2_c,-0.03370800175033248
39,5fthf_c,-0.004820989114854521
40,thr__L_c,-0.30589419712897964
41,ahcys_c,-0.005912235745528672
42,glu__L_c,-0.3088742159475492
43,leu__L_c,-0.4125151585777089
44,lys__L_c,-0.2743566703314616
45,nadphx__S_c,-0.0029927760014939932
46,phe__L_c,-0.12592356497070842
47,cu2_c,-0.029141910613600414
48,ala__L_c,-0.786686581012288
49,dctp_c,-0.02734953643693197
50,nadphx__R_c,-0.0029927760014939932
51,uagmda_c,-0.0013267408815803904
52,ile__L_c,-0.2907964681752002
53,aacoa_c,-0.002681444514105406
54,fe2_c,-0.033160566780407415
55,nadp_c,-0.00250121409670112
56,amp_c,-0.005364493627147709
57,ca2_c,-0.04620619421757203
58,2oph_c,-0.0035564298872466627
59,pg181_p,-0.009098089940190764
60,dttp_c,-0.025142709652151804
61,nh4_c,-0.1026613054469091
62,gln__L_c,-0.16176662571366865
63,fmnh2_c,-0.004980296144588745
64,glyc3p_c,-0.010889541117082931
65,murein3px4p_p,-0.001298201617189695
66,nadph_c,-0.0024978136236453144
67,methf_c,-0.00500142330504415
68,nadhx__R_c,-0.0033351813786804212
69,his__L_c,-0.07909538580101927
70,asn__L_c,-0.18757538475910354
71,succoa_c,-0.0026348408767682885
72,adp_c,89.08201514974236
73,nad_c,-0.0027955976355755288
74,gly_c,-0.8068327457540323
75,asp__L_c,-0.286019444825156
76,tyr__L_c,-0.08853072858049255
77,ppi_c,0.7406050678152053
78,gtp_c,-0.16306640467110828
79,uaagmda_c,-0.001186054763455529
80,ctp_c,-0.1671601704512458
81,2omph_c,-0.0033968281217932675
82,pe161_p,-0.030710743257354293
83,zn2_c,-0.028311881420780807
84,kdo2lipid4_e,-0.001235169379193468
